Season,Date,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,HomeTeamxG,AwayTeamxG
2024,2024-09-21,Bochum,Holstein Kiel,2,2,1.32383,2.26878
2024,2024-09-21,Union Berlin,Hoffenheim,2,1,1.21587,0.378776
2024,2024-09-21,Werder Bremen,Bayern Munich,0,5,0.0,3.34451
2024,2024-09-29,Hoffenheim,Werder Bremen,3,4,1.78654,4.06917
2024,2024-10-05,Werder Bremen,Freiburg,0,1,0.879674,1.58065
2024,2024-10-05,Bochum,Wolfsburg,1,3,2.28586,2.37344
2024,2024-10-19,Freiburg,Augsburg,3,1,1.07588,0.868723
2024,2024-10-19,Hoffenheim,Bochum,3,1,2.46268,2.3454
2024,2024-10-20,Holstein Kiel,Union Berlin,0,2,0.901058,1.2809
2024,2024-10-20,Wolfsburg,Werder Bremen,2,4,2.17351,2.14788
2024,2024-10-27,Bochum,Bayern Munich,0,5,0.205046,3.1499
2024,2024-11-02,Bayern Munich,Union Berlin,3,0,2.76181,0.4664
2024,2024-11-02,Wolfsburg,Augsburg,1,1,1.11324,0.499473
2024,2024-11-08,Union Berlin,Freiburg,0,0,0.801684,2.66619
2024,2024-11-09,Werder Bremen,Holstein Kiel,2,1,2.26129,0.884231
2024,2024-11-10,Augsburg,Hoffenheim,0,0,0.970329,0.415649
2024,2024-11-22,Bayern Munich,Augsburg,3,0,4.02659,0.149096
2024,2024-11-23,Wolfsburg,Union Berlin,1,0,0.742754,0.63337
2024,2024-11-30,Augsburg,Bochum,1,0,2.15529,0.250706
2024,2024-12-07,Bochum,Werder Bremen,0,1,1.16256,1.20754
2024,2024-12-08,Hoffenheim,Freiburg,1,1,1.49449,1.53138
2024,2024-12-13,Freiburg,Wolfsburg,3,2,2.96777,1.85123
2024,2024-12-14,Union Berlin,Bochum,0,2,3.0131,1.23723
2024,2024-12-21,Holstein Kiel,Augsburg,5,1,2.48595,1.13064
2024,2024-12-21,Werder Bremen,Union Berlin,4,1,2.73356,1.64107
2024,2025-01-11,Freiburg,Holstein Kiel,3,2,0.750017,1.66855
2024,2025-01-11,Hoffenheim,Wolfsburg,0,1,1.18042,1.49127
2024,2025-01-15,Bayern Munich,Hoffenheim,5,0,3.80458,0.222965
2024,2025-01-15,Union Berlin,Augsburg,0,2,0.549286,1.41902
2024,2025-01-18,Holstein Kiel,Hoffenheim,1,3,0.908525,0.905544
2024,2025-01-18,Bayern Munich,Wolfsburg,3,2,3.23282,0.702414
2024,2025-01-19,Werder Bremen,Augsburg,0,2,1.15183,1.31644
2024,2025-01-24,Wolfsburg,Holstein Kiel,2,2,2.52045,0.265769
2024,2025-01-25,Freiburg,Bayern Munich,1,2,0.271308,0.787581
2024,2025-02-01,Bayern Munich,Holstein Kiel,4,3,4.93236,2.05752
2024,2025-02-01,Bochum,Freiburg,0,1,0.843049,3.33243
2024,2025-02-07,Bayern Munich,Werder Bremen,3,0,4.47713,0.151051
2024,2025-02-08,Hoffenheim,Union Berlin,0,4,0.881646,3.86589
2024,2025-02-09,Holstein Kiel,Bochum,2,2,2.0,2.0
2024,2025-02-16,Werder Bremen,Hoffenheim,1,3,0.85665,1.91874
2024,2025-02-21,Freiburg,Werder Bremen,5,0,2.66243,1.25462
